date,time,occupancy
07/24/05,00:00:00,0
07/24/05,00:30:00,0
07/24/05,01:00:00,0
07/24/05,01:30:00,0
07/24/05,02:00:00,0
07/24/05,02:30:00,0
07/24/05,03:00:00,0
07/24/05,03:30:00,0
07/24/05,04:00:00,0
07/24/05,04:30:00,0
07/24/05,05:00:00,0
07/24/05,05:30:00,0
07/24/05,06:00:00,0
07/24/05,06:30:00,0
07/24/05,07:00:00,0
07/24/05,07:30:00,1
07/24/05,08:00:00,2
07/24/05,08:30:00,3
07/24/05,09:00:00,4
07/24/05,09:30:00,6
07/24/05,10:00:00,9
07/24/05,10:30:00,10
07/24/05,11:00:00,12
07/24/05,11:30:00,16
07/24/05,12:00:00,21
07/24/05,12:30:00,24
07/24/05,13:00:00,27
07/24/05,13:30:00,29
07/24/05,14:00:00,31
07/24/05,14:30:00,33
07/24/05,15:00:00,34
07/24/05,15:30:00,45
07/24/05,16:00:00,48
07/24/05,16:30:00,49
07/24/05,17:00:00,51
07/24/05,17:30:00,53
07/24/05,18:00:00,57
07/24/05,18:30:00,55
07/24/05,19:00:00,51
07/24/05,19:30:00,47
07/24/05,20:00:00,42
07/24/05,20:30:00,38
07/24/05,21:00:00,33
07/24/05,21:30:00,26
07/24/05,22:00:00,20
07/24/05,22:30:00,14
07/24/05,23:00:00,7
07/24/05,23:30:00,0
07/25/05,00:00:00,0
07/25/05,00:30:00,0
07/25/05,01:00:00,0
07/25/05,01:30:00,0
07/25/05,02:00:00,0
07/25/05,02:30:00,0
07/25/05,03:00:00,0
07/25/05,03:30:00,0
07/25/05,04:00:00,0
07/25/05,04:30:00,0
07/25/05,05:00:00,0
07/25/05,05:30:00,0
07/25/05,06:00:00,0
07/25/05,06:30:00,1
07/25/05,07:00:00,1
07/25/05,07:30:00,3
07/25/05,08:00:00,4
07/25/05,08:30:00,6
07/25/05,09:00:00,9
07/25/05,09:30:00,14
07/25/05,10:00:00,22
07/25/05,10:30:00,28
07/25/05,11:00:00,32
07/25/05,11:30:00,33
07/25/05,12:00:00,41
07/25/05,12:30:00,44
07/25/05,13:00:00,52
07/25/05,13:30:00,62
07/25/05,14:00:00,73
07/25/05,14:30:00,77
07/25/05,15:00:00,84
07/25/05,15:30:00,88
07/25/05,16:00:00,97
07/25/05,16:30:00,104
07/25/05,17:00:00,106
07/25/05,17:30:00,109
07/25/05,18:00:00,112
07/25/05,18:30:00,103
07/25/05,19:00:00,94
07/25/05,19:30:00,85
07/25/05,20:00:00,75
07/25/05,20:30:00,64
07/25/05,21:00:00,55
07/25/05,21:30:00,44
07/25/05,22:00:00,34
07/25/05,22:30:00,22
07/25/05,23:00:00,12
07/25/05,23:30:00,0
07/26/05,00:00:00,0
07/26/05,00:30:00,0
07/26/05,01:00:00,0
07/26/05,01:30:00,0
07/26/05,02:00:00,0
07/26/05,02:30:00,0
07/26/05,03:00:00,0
07/26/05,03:30:00,0
07/26/05,04:00:00,0
07/26/05,04:30:00,0
07/26/05,05:00:00,0
07/26/05,05:30:00,0
07/26/05,06:00:00,0
07/26/05,06:30:00,0
07/26/05,07:00:00,0
07/26/05,07:30:00,1
07/26/05,08:00:00,3
07/26/05,08:30:00,7
07/26/05,09:00:00,10
07/26/05,09:30:00,16
07/26/05,10:00:00,23
07/26/05,10:30:00,26
07/26/05,11:00:00,38
07/26/05,11:30:00,47
07/26/05,12:00:00,50
07/26/05,12:30:00,62
07/26/05,13:00:00,68
07/26/05,13:30:00,75
07/26/05,14:00:00,80
07/26/05,14:30:00,87
07/26/05,15:00:00,96
07/26/05,15:30:00,99
07/26/05,16:00:00,102
07/26/05,16:30:00,108
07/26/05,17:00:00,112
07/26/05,17:30:00,116
07/26/05,18:00:00,118
07/26/05,18:30:00,110
07/26/05,19:00:00,99
